lon,lat,common_name,number_found,observation_date,county
-73.9680562,40.6427006,Spotted Lanternfly,1.0,18-May-2022,Kings
-73.9680676,40.6427222,Spotted Lanternfly,1.0,18-May-2022,Kings
-73.9680693,40.6427212,Spotted Lanternfly,1.0,18-May-2022,Kings
-73.9680666,40.6427392,Spotted Lanternfly,1.0,18-May-2022,Kings
-73.9680689,40.6427509,Spotted Lanternfly,1.0,18-May-2022,Kings
-74.2364877,40.5392596,Spotted Lanternfly,1.0,18-May-2022,Richmond
-73.953732,40.8097281,Spotted Lanternfly,1.0,22-May-2022,New York
-73.9745675,40.776313,Spotted Lanternfly,1.0,23-May-2022,New York
-73.9685418,40.7813877,Spotted Lanternfly,1.0,23-May-2022,New York
-74.104525,40.6438944,Spotted Lanternfly,1.0,23-May-2022,Richmond
-74.0209304,40.6535063,Spotted Lanternfly,1.0,23-May-2022,Kings
-73.810818,40.7100581,Spotted Lanternfly,1.0,27-Sep-2022,Queens
-73.9491328,40.7439211,Spotted Lanternfly,4.0,26-Oct-2022,Queens
-73.9492962,40.833646,Spotted Lanternfly,1.0,26-Oct-2022,New York
-73.790988,40.8539084,Spotted Lanternfly,1.0,27-Oct-2022,Bronx
-73.9168508,40.8808005,Spotted Lanternfly,1.0,13-Nov-2022,Bronx
-73.9381562,40.7663775,Spotted Lanternfly,1.0,13-Aug-2021,Queens
-74.0227706,40.6845618,Spotted Lanternfly,1.0,10-Sep-2021,New York
-74.0159083,40.7091,Spotted Lanternfly,1.0,10-Sep-2021,New York
-73.9745615,40.7764387,Spotted Lanternfly,1.0,08-Sep-2021,New York
-73.9324314,40.6014502,Spotted Lanternfly,1.0,10-Sep-2021,Kings
-73.8789667,40.850845,Spotted Lanternfly,1.0,11-Sep-2021,Bronx
-73.9747,40.6853783,Spotted Lanternfly,1.0,11-Sep-2021,Kings
-73.9903074,40.6787637,Spotted Lanternfly,1.0,11-Sep-2021,Kings
-73.95903,40.71592,Spotted Lanternfly,1.0,11-Sep-2021,Kings
-73.9476467,40.8190083,Spotted Lanternfly,1.0,11-Sep-2021,New York
-73.9476467,40.8190083,Spotted Lanternfly,1.0,11-Sep-2021,New York
-73.9476,40.81898,Spotted Lanternfly,1.0,11-Sep-2021,New York
-74.0016417,40.756145,Spotted Lanternfly,1.0,11-Sep-2021,New York
-73.9556145,40.7933537,Spotted Lanternfly,1.0,11-Sep-2021,New York
-73.9592533,40.7358867,Spotted Lanternfly,1.0,12-Sep-2021,Kings
-73.971756,40.7701035,Spotted Lanternfly,1.0,12-Sep-2021,New York
-74.0214337,40.6863508,Spotted Lanternfly,1.0,12-Sep-2021,New York
