lon,lat,observation_date,county,Spotted Lanternfly
-73.9168508,40.8808005,13-Nov-2022,Bronx,1
-73.9381562,40.7663775,13-Aug-2021,Queens,1
-74.0227706,40.6845618,10-Sep-2021,New York,1
-74.0159083,40.7091,10-Sep-2021,New York,1
-73.9745615,40.7764387,08-Sep-2021,New York,1
-73.9324314,40.6014502,10-Sep-2021,Kings,1
-73.8789667,40.850845,11-Sep-2021,Bronx,1
-73.9747,40.6853783,11-Sep-2021,Kings,1
-73.9903074,40.6787637,11-Sep-2021,Kings,1
-73.95903,40.71592,11-Sep-2021,Kings,1
-73.9476467,40.8190083,11-Sep-2021,New York,1
-73.9476467,40.8190083,11-Sep-2021,New York,1
-73.9476,40.81898,11-Sep-2021,New York,1
-74.0016417,40.756145,11-Sep-2021,New York,1
-73.9556145,40.7933537,11-Sep-2021,New York,1
-73.9592533,40.7358867,12-Sep-2021,Kings,1
-73.971756,40.7701035,12-Sep-2021,New York,1
-74.0214337,40.6863508,12-Sep-2021,New York,1
-73.9618917,40.6875833,12-Sep-2021,Kings,1
-74.015175,40.7075467,12-Sep-2021,New York,1
-74.0007556,40.7540033,12-Sep-2021,New York,1
-74.122701,40.562524,12-Sep-2021,Richmond,1
-73.9907583,40.6628333,12-Sep-2021,Kings,1
-73.9632806,40.6497778,12-Sep-2021,Kings,1
-74.1365204,40.5296097,12-Sep-2021,Richmond,1
-73.9632033,40.8098717,12-Sep-2021,New York,1
-73.9565659,40.7647324,12-Sep-2021,New York,1
-73.979308,40.7590255,12-Sep-2021,New York,1
-74.0167357,40.6930217,12-Sep-2021,New York,1
-74.1485512,40.6193667,04-Sep-2021,Richmond,1
-73.9916261,40.6602374,13-Sep-2021,Kings,1
-73.942936,40.7465282,13-Sep-2021,Queens,1
-73.9983533,40.7559303,07-Sep-2021,New York,1
-74.1024444,40.6417167,13-Sep-2021,Richmond,1
-73.9581945,40.7979039,11-Sep-2021,New York,1
-73.9592464,40.7959781,11-Sep-2021,New York,1
-74.0106806,40.7202083,13-Sep-2021,New York,1
-73.9750016,40.7761495,08-Sep-2021,New York,1
-74.1496474,40.5996901,11-Sep-2021,Richmond,1
-74.0900826,40.631842,10-Sep-2021,Richmond,1
-73.9813833,40.769195,13-Sep-2021,New York,1
-74.0125903,40.7150516,14-Sep-2021,New York,1
-74.0156663,40.6750299,14-Sep-2021,Kings,1
-74.0941544,40.6449432,14-Sep-2021,Richmond,1
