"x","y","scientific_name","common_name","observation_date","number_found","observer","organization_name","confirmed_ind","species_id_method_name_array","species_verified_by_name","follow_up_name","evaluation_type_name","has_photo_ind","confidential_ind","source_unique_id","source_record_url","imap_url","imap_id","species_type","growth_habit","jurisdiction","county","regional_management_partnership","waterbody","bulk_upload_id","bulk_upload_name","uuid","jurisdiction_species_id","projects","project_ids","approximate_ind","approximate_to"
"-73.9728617","40.7790333","Lycorma delicatula","Spotted Lanternfly","01-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96831719","https://www.inaturalist.org/observations/96831719","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167031.html","1167031","Animal","Plant Pest","New York","New York","Lower Hudson","","","","99b29b2f-039f-46fc-b852-5259ee85cc92","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9986837","40.6529428","Lycorma delicatula","Spotted Lanternfly","30-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96878369","https://www.inaturalist.org/observations/96878369","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167033.html","1167033","Animal","Plant Pest","New York","Kings","LIISMA","","","","65903bbe-9029-4d42-a44a-c34621bd1a9f","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498667","40.8320167","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879368","https://www.inaturalist.org/observations/96879368","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167034.html","1167034","Animal","Plant Pest","New York","New York","Lower Hudson","","","","105f5a14-855b-4ee5-80a5-b31d707adbd4","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9499050","40.8320383","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879391","https://www.inaturalist.org/observations/96879391","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167035.html","1167035","Animal","Plant Pest","New York","New York","Lower Hudson","","","","597c4332-ba30-4505-a6aa-6f77c6010fba","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498050","40.8316033","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879419","https://www.inaturalist.org/observations/96879419","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167036.html","1167036","Animal","Plant Pest","New York","New York","Lower Hudson","","","","070ad4a7-48e4-4351-a5fc-1dec418aaeb6","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498967","40.8320117","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879436","https://www.inaturalist.org/observations/96879436","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167037.html","1167037","Animal","Plant Pest","New York","New York","Lower Hudson","","","","6327038b-130d-44be-9275-7706af818b18","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498667","40.8320117","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879451","https://www.inaturalist.org/observations/96879451","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167038.html","1167038","Animal","Plant Pest","New York","New York","Lower Hudson","","","","10dc0fb7-3ea2-455a-86eb-8ad96caf647c","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498533","40.8320000","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879494","https://www.inaturalist.org/observations/96879494","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167039.html","1167039","Animal","Plant Pest","New York","New York","Lower Hudson","","","","407246bb-1393-4edb-865e-543307f90c65","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9498667","40.8320117","Lycorma delicatula","Spotted Lanternfly","29-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96879531","https://www.inaturalist.org/observations/96879531","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167040.html","1167040","Animal","Plant Pest","New York","New York","Lower Hudson","","","","12b63bd3-2d38-4bbd-9110-e3b7d2e3ccba","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9576808","40.8010630","Lycorma delicatula","Spotted Lanternfly","02-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96884406","https://www.inaturalist.org/observations/96884406","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167042.html","1167042","Animal","Plant Pest","New York","New York","Lower Hudson","","","","93f2f045-ad30-4c85-8a15-50b14ca0bf2a","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.8780349","40.5667468","Lycorma delicatula","Spotted Lanternfly","02-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96887744","https://www.inaturalist.org/observations/96887744","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167043.html","1167043","Animal","Plant Pest","New York","Queens","LIISMA","","","","aa810ed6-81a9-4442-a7b4-30243cb3fe80","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.0103100","40.6350010","Lycorma delicatula","Spotted Lanternfly","02-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","96910888","https://www.inaturalist.org/observations/96910888","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167044.html","1167044","Animal","Plant Pest","New York","Kings","LIISMA","","","","f93c7b1a-93bf-4094-9406-52c232e14427","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
