Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AGPAP3,GEPUP3,Gerardia purpurea L. var. paupercula A. Gray,
AGPU5,GEPUP2,Gerardia purpurea L. ssp. parvula Pennell,
AGPU5,GEPU7,Gerardia purpurea L.,
AGPU5,,Agalinis purpurea (L.) Pennell,purple false foxglove
AGPU5,AGPUC,Agalinis purpurea (L.) Pennell var. carteri Pennell,
AGPU5,GEPUC,Gerardia purpurea L. var. carteri (Pennell) Pennell,
AGPU5,GEPUG,Gerardia purpurea L. var. grandiflora Benth.,
AGSE3,,Agalinis setacea (J.F. Gmel.) Raf.,threadleaf false foxglove
AGSE3,AGHO6,Agalinis holmiana Pennell,
AGSE3,AGST3,Agalinis stenophylla Pennell,
AGSE3,GEST3,Gerardia stenophylla (Pennell) Pennell,
AGSE3,GESE5,Gerardia setacea J.F. Gmel.,
AGTE3,,Agalinis tenuifolia (Vahl) Raf.,slenderleaf false foxglove
AGTEM,GETEM3,Gerardia tenuifolia Vahl ssp. macrophylla (Benth.) Pennell,
AGTEM,AGBE,Agalinis besseyana (Britton) Britton,
AGTEM,,Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake,slenderleaf false foxglove
AGTEM,GETEM2,Gerardia tenuifolia Vahl var. macrophylla Benth.,
AGTEM,GEBE,Gerardia besseyana Britton,
AGTEP2,GETEP4,Gerardia tenuifolia Vahl var. parviflora Nutt.,
AGTEP2,GETEP6,Gerardia tenuifolia Vahl ssp. parviflora (Nutt.) Pennell,
AGTEP2,,Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell,slenderleaf false foxglove
AGTET,GETE6,Gerardia tenuifolia Vahl,
AGTET,,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,slenderleaf false foxglove
AGTET,GETEH,Gerardia tenuifolia Vahl var. humilis Benth.,
AGTET,GETET2,Gerardia tenuifolia Vahl var. typica Pennell,
AGAST,,Agastache Clayton ex Gronov.,giant hyssop
AGFO,AGAN3,Agastache anethiodora (Nutt.) Britton,
AGFO,,Agastache foeniculum (Pursh) Kuntze,blue giant hyssop
AGNE2,,Agastache nepetoides (L.) Kuntze,yellow giant hyssop
AGSC,AGSCM,Agastache scrophulariifolia (Willd.) Kuntze var. mollis (Fernald) A. Heller,
AGSC,,Agastache scrophulariifolia (Willd.) Kuntze,purple giant hyssop
AGERA2,,Ageratina Spach,snakeroot
AGAL5,,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fernald,
AGALA,,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,white snakeroot
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altissimum L.",
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomentellum B.L. Rob.,
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B.L. Rob.) S.F. Blake,
AGALA,EURU6,Eupatorium rugosum Houtt.,
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fernald) S.F. Blake,
AGAR4,,Ageratina aromatica (L.) Spach,lesser snakeroot
AGARA,EUARA,Eupatorium aromaticum L. var. aromaticum,
AGARA,,Ageratina aromatica (L.) Spach var. aromatica,lesser snakeroot
AGARA,EULA11,Eupatorium latidens Small,
AGARA,EUAR7,Eupatorium aromaticum L.,
AGRIM,,Agrimonia L.,agrimony
AGEU,,Agrimonia eupatoria L.,churchsteeples
AGGR2,,Agrimonia gryposepala Wallr.,tall hairy agrimony
AGPA6,,Agrimonia parviflora Aiton,harvestlice
AGPU,,Agrimonia pubescens Wallr.,soft agrimony
AGPU,AGBI,Agrimonia bicknellii (Kearney) Rydb.,
AGPU,AGMO3,Agrimonia mollis (Torr. & A. Gray) Britton,
AGRO3,,Agrimonia rostellata Wallr.,beaked agrimony
AGST,,Agrimonia striata Michx.,roadside agrimony
AGROS,,Agrostemma L.,corncockle
AGGI,,Agrostemma githago L.,common corncockle
AILAN,,Ailanthus Desf.,ailanthus
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
AIAL,AIGL,Ailanthus glandulosa Desf.,
AIAL,TOAL4,Toxicodendron altissimum Mill.,
AJUGA,,Ajuga L.,bugle
AJGE,,Ajuga genevensis L.,blue bugle
AJRE,,Ajuga reptans L.,common bugle
AKEBI,,Akebia Decne.,chocolate vine
AKQU,,Akebia quinata (Houtt.) Decne.,chocolate vine
ALBIZ,,Albizia Durazz.,albizia
ALJU,,Albizia julibrissin Durazz.,silktree
ALCEA,,Alcea L.,hollyhock
ALRO3,ALFI9,Alcea ficifolia L.,
ALRO3,,Alcea rosea L.,hollyhock
ALRO3,ALRO4,Althaea rosea (L.) Cav.,
ALCHE,,Alchemilla L.,lady's mantle
ALMO4,,Alchemilla monticola Opiz,hairy lady's mantle
ALMO4,ALVUP,Alchemilla vulgaris L. var. pastoralis (Buser) B. Boivin,
ALMO4,ALPR5,Alchemilla pratensis auct. non F.W. Schmidt,
ALMO4,ALVU2,Alchemilla vulgaris auct. non L.,
ALMO4,ALXA,Alchemilla xanthochlora auct. non Rothm.,
ALLIA,,Alliaria Heist. ex Fabr.,alliaria
